0,XXX,8:30 AM,10:30 PM
1,SYSC4005 L2,1:30 PM,2:25 PM
1,COMP4106,2:30 PM,4:00 PM
2,SYSC 4806,9:30 AM,11:25 AM
2,SYSC4507,2:30 PM,4:00 PM
2,SYSC4507 L1,4:30 PM,5:30 PM
2,SYSC4005,6:00 PM,7:30 PM
3,COMP4106,2:30 PM,4:00 PM
4,SYSC4806 L2,8:30 AM,12:30 PM
4,SYSC4507,2:30 PM,4:00 PM
4,SYSC4005,6:00 PM,7:30 PM
6,XXX,8:30 AM,10:30 PM
